Transaction_ID,Document_ID,Project_Name,Section,Assumption_Name,Case,Year,Value,Unit,Basis_or_Commentary,Source_Note,RAG_Test_Flag
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Project description,"ADDC / TAQA Distribution smart grid, feeder automation and smart metering capex programme",Base,2026-2029,Digital distribution platform + AMI + feeder automation,text,Synthetic investment case for Abu Dhabi Central and Al Dhafra distribution network,Public context only: https://www.addc.ae/en-US/home/pages/AboutUs.aspx,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Governance,Sponsor / asset owner,Base,2026,Abu Dhabi Distribution Company legacy operations within TAQA Distribution,text,Synthetic governance assumption referencing public corporate context,Public context only: https://taqadistribution.com/,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Timing,FID date,Base,2026,2026-09-30,date,Financial close and main contractor award targeted after IC approval,Synthetic management case,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Timing,Commercial operation date,Base,2028,2028-06-30,date,CSV assumes June 2028 completion; IC deck states Q3 2028,Synthetic management case,CROSS_DOC_VARIANCE_COD
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Scope,Smart meters installed,Base,2029,455000,meters,AMI replacement and incremental connections across priority districts,Synthetic engineering estimate,CROSS_DOC_VARIANCE_SMART_METERS
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Scope,Feeder automation points,Base,2029,128,feeders,"Primary distribution feeders upgraded with automation, switching and monitoring",Synthetic engineering estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Scope,Water telemetry districts,Base,2029,23,district metered areas,Non-revenue water analytics and pressure management instrumentation,Synthetic engineering estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial returns,Total programme capex,Base,2026-2029,1145,AED million,CSV base case capex; IC deck states AED 1.18bn; benchmark note states AED 1.16bn,Synthetic financial model,CROSS_DOC_VARIANCE_CAPEX
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial returns,Project IRR,Base,2026-2045,13.9,%,Unlevered nominal project IRR before financing effects,Synthetic financial model,CROSS_DOC_VARIANCE_IRR
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial returns,Equity IRR,Base,2026-2045,12.8,%,Equity IRR after 60% debt financing,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial returns,NPV @ 8.0%,Base,2026-2045,221,AED million,"NPV based on avoided losses, allowed return uplift and operating savings",Synthetic financial model,CROSS_DOC_VARIANCE_NPV
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financial returns,Payback period,Base,2026-2045,8.4,years,Simple payback from incremental regulated cash flows and opex savings,Synthetic financial model,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financing,Debt share of capex,Base,2026-2029,60,%,Assumed corporate or project-level debt funding,Synthetic financing assumption,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Financing,Cost of debt,Base,2026-2045,5.6,%,Nominal AED debt cost before fees,Synthetic financing assumption,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Regulatory,Allowed return on invested capital,Base,2026-2045,7.2,%,Assumed regulatory allowed return for incremental approved asset base,Synthetic regulatory assumption,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Regulatory,Cost pass-through recovery lag,Base,2026-2045,12,months,Timing lag between approved capex and tariff / revenue recovery,Synthetic regulatory assumption,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Operating performance,SAIDI reduction,Base,2029,18,%,Expected reduction in average interruption duration,Synthetic operational estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Operating performance,Technical loss reduction,Base,2029,0.75,percentage points,"Loss improvement from meter accuracy, analytics and feeder balancing",Synthetic operational estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Operating performance,Non-revenue water reduction,Base,2029,1.1,percentage points,"Improvement from telemetry, pressure management and leakage analytics",Synthetic operational estimate,
TXN_ADDC_001,ADDC-DOC-001,Project Barq,Cybersecurity,Cyber hardening budget included,Base,2026-2029,38,AED million,Cybersecurity scope included in capex but independent audit not yet budgeted,Synthetic risk estimate,MISSING_INDEPENDENT_CYBER_AUDIT
